locations,links,details
Staffordshire,https://www.linkedin.com/jobs/search?keywords=&location=Staffordshire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=103719376&f_TPR=r86400&position=1&pageNum=0,unprocessed
Suffolk,https://www.linkedin.com/jobs/search?keywords=&location=Suffolk%2C%20England%2C%20United%20Kingdom&locationId=&geoId=100758706&f_TPR=r86400&position=1&pageNum=0,unprocessed
Surrey,https://www.linkedin.com/jobs/search?keywords=&location=Surrey%2C%20England%2C%20United%20Kingdom&locationId=&geoId=105663381&f_TPR=r86400&position=1&pageNum=0,unprocessed
West Sussex,https://www.linkedin.com/jobs/search?keywords=&location=West%20Sussex%2C%20England%2C%20United%20Kingdom&locationId=&geoId=103975684&f_TPR=r86400&position=1&pageNum=0,unprocessed
East Sussex,https://www.linkedin.com/jobs/search?keywords=&location=East%20Sussex%2C%20England%2C%20United%20Kingdom&locationId=&geoId=105890950&f_TPR=r86400&position=1&pageNum=0,unprocessed
Tyne and Wear,https://www.linkedin.com/jobs/search?keywords=&location=Tyneside%20Area&locationId=&geoId=90009512&f_TPR=r86400&position=1&pageNum=0,unprocessed
Warwickshire,https://www.linkedin.com/jobs/search?keywords=&location=Warwickshire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=100659116&f_TPR=r86400&position=1&pageNum=0,unprocessed
Birmingham,https://www.linkedin.com/jobs/search?keywords=&location=Birmingham%2C%20England%2C%20United%20Kingdom&locationId=&geoId=100356971&f_TPR=r86400&distance=25&position=1&pageNum=0,unprocessed
Liverpool,https://www.linkedin.com/jobs/search?keywords=&location=Liverpool%2C%20England%2C%20United%20Kingdom&locationId=&geoId=108577329&f_TPR=r86400&position=1&pageNum=0,unprocessed
Wiltshire,https://www.linkedin.com/jobs/search?keywords=&location=Wiltshire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=102797972&f_TPR=r86400&position=1&pageNum=0,unprocessed
Worcestershire,https://www.linkedin.com/jobs/search?keywords=&location=Worcestershire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=101225057&f_TPR=r86400&position=1&pageNum=0,unprocessed
