,job_title,job_link,company,location,date_posted
183,Mig Welder,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CGGNKNMxeIHRpQ85Rg10_k-9FHbf9J9hoXfAz1Wsz2KfsiCWy5o2Stq-mPpJPnemFGPAU-UU3s_mbRainPZN81BnrQLV82iHOAPSGt4-A5RhhrLpsFdhGfLjSAd-9-tzAlHwTt95cOknLAiDTpcX0Ho-wP5DNKLTu7OMv0-YZXzcdiylkqxpsAEldIt4ZKLQWIWlgwZbwfCDzEE1hRTzeMAM-JiW6JQqNQv0rJpryEgmu9vQu6N58UdEMPVWdZIMscxarn4sFTaphGH8qEcD_0938325v8rHdUy5nCZFoWz__um66dmcplBgsF8-RWzQREKE3Ovosgx1CCQ9ueorEQXvgRalngqZLXhLnWVqqHpG1QgIi6vZjTlUohBPU-F2TXZi8HyY3xARrbcIRh2yicT8eksDjrTpZ9kwvHVsX8GEdH6QCBcz1CxouFe5ikel-qnGiWE8J_BMsmiqz6TIHwNjh1uITTidIq8mpY1nBuK7g9SzrlTsh-4JgBhc237UE=&xkcb=SoA3-_M3MPXroUxuXp0IbzkdCdPP&p=3&fvj=1&vjs=3,Robust Solutions Group Uk Ltd,Longton,Hiring ongoing
184,Evening and Weekend Carers Needed!,https://uk.indeed.com/company/Nexus-Care-Services/jobs/Caregiver-4fbdc9aa783615a7?fccid=2ca6a54248c970b6&vjs=3,Nexus Care Services,Lichfield,Today
185,Front of House Team Member,https://uk.indeed.com/viewjob?jk=5b60ee2c7d6ad5dd&fccid=63ee123169e34f88&vjs=3,Nando’s Chickenland Limited,Stoke-on-Trent ST1,Today
186,Sales Support Administrator - Part Time,https://uk.indeed.com/viewjob?jk=20e644c6df60676c&fccid=a307b26d7aeec984&vjs=3,PHS Group,Tamworth,Today
187,Netball Umpire - Staffordshire,https://uk.indeed.com/company/Leisure-Leagues/jobs/Umpire-07dc050f4ebb7360?fccid=34003c5904ccaae5&vjs=3,Leisure Leagues,Stafford,Just posted
188,Part-Time Customer Service Advisor,https://uk.indeed.com/viewjob?jk=d9be21e6d76b3862&fccid=d56fa40ef5076b28&vjs=3,Avery Healthcare,Stoke-on-Trent ST4, 1 day ago
189,SEN NANNY / PA Support Worker,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0AKWP2pUkUZRSFrxLDapGs-xHQijF4VKJZ2SwWmijWzLsU-uguvP_5rA4f5FjDYP91qr9RRkEoNFY63Kr5r0WajBbDUY-uSZCFdmkMQVhp3J4VSseaVqY42mKUE_4xQGbFEwpdJ0QayCDw1AwO6DYnp54ttnGdDAmwU9rSUm4wd2V9kGmRPaxPKIHT6KY3i4egfDQ-T54fYxzqJ0H8qbgMtgweZq09QmYxlTDj9IWJpoUrjFUysG5I0l83AZFKyvWMkUBGV6FCKkfx7zsJe-1LVBAWWjGG6AoaD4RChrcf6BRC2tNEndE3DdTHQc6dqaQ6wnjhDi_Rc1H9k42NTbWEzAuvCab7F6oVSLON1fkx5qB26FEyRt6DjO1RRoxxM0eJcRHiLWxr5pIV4GJloGjBwqum6SGVetrXBGIylyVtumtJdaaDLShFMVbPsiJa4KLOTobWaJ-B0OMyR_zEBGSCzi66GL9lVN5UI0jTu4dxXT6JO-J-O6sQQnyT80dLq_ZftDlG1-KVThcQcQ25Q7jLw&xkcb=SoB5-_M3MPXroUxuXp0CbzkdCdPP&p=9&fvj=1&vjs=3,Private Household,Stoke-on-Trent ST4,Hiring ongoing
190,Hotel Evening Kitchen Assistants,https://uk.indeed.com/company/Aramark/jobs/Kitchen-Team-Member-ed29b0f7a2dc4f28?fccid=ef670f88bdb8a879&vjs=3,Aramark,Alton Towers,Today
191,Business Systems Auditor,https://uk.indeed.com/viewjob?jk=319d23b43d2e406e&fccid=87fbb4f2d0ae4ba9&vjs=3,Ibstock Plc,Hybrid remote in Stoke-on-Trent ST5, 1 day ago
192,Cleaning Operative,https://uk.indeed.com/company/We-Clean-Ltd/jobs/Cleaner-6963fa5ced08fee5?fccid=4ef51df9289563fd&vjs=3,We Clean Ltd,Tamworth,Today
193,Production Operative (FT),https://uk.indeed.com/viewjob?jk=212966055f2d6ba9&fccid=2599ce1922e6b42a&vjs=3,MachRecruitment,Uttoxeter,Today
194,Income Management Officer,https://uk.indeed.com/company/Cannock-Chase-Council/jobs/Income-Manager-b1441436b59b95c9?fccid=7515d0ce16f1c4dd&vjs=3,Cannock Chase Council,Cannock WS11, 1 day ago
195,Residential Care Worker,https://uk.indeed.com/company/Positive-Outcomes-Childcare-Ltd/jobs/Home-Care-Worker-d54f42b78544db19?fccid=aae77bc73f896387&vjs=3,Positive Outcomes Childcare Ltd,Stafford,Today
196,SPARCS Practitioner #863,https://uk.indeed.com/viewjob?jk=5cff2451a4105ba6&fccid=8ad7b7dbfc73ca8c&vjs=3,Douglas Macmillan Hospice,Stoke-on-Trent ST4, 1 day ago
197,Order Picker Afternoon Shift,https://uk.indeed.com/company/Expedient-Recruitment-Ltd/jobs/Order-Picker-13caa5f7d945cf71?fccid=c9fd12ef9e63dad2&vjs=3,Expedient Recruitment Ltd,Tamworth,Today
198,Executive Assistant,https://uk.indeed.com/company/Uniting-People/jobs/Executive-Assistant-15e68db1703982bc?fccid=aef988f1dea8681c&vjs=3,Uniting People,Stoke-on-Trent,Today
199,multi skilled operative,https://uk.indeed.com/company/Fdl-Contractors/jobs/Multi-Skilled-Operative-5385762c2d4e101a?fccid=3cddb5dc2d5723ec&vjs=3,Fdl Contractors,Stafford,Today
200,Digital Marketing Apprentice,https://uk.indeed.com/viewjob?jk=18348ec8b032bed1&fccid=45bde5b0e7d387e3&vjs=3,APPRENTIFY GROUP,Stoke-on-Trent ST4,Today
201,Local home cleaner,https://uk.indeed.com/viewjob?jk=c8cddeffaae62bb1&fccid=a584ded04c64bb01&vjs=3,Maid2clean,Lichfield,Just posted
202,Trainee Team Leader (BOS),https://uk.indeed.com/company/Aviagen/jobs/Warehouse-Lead-1568f8af1e618c5d?fccid=216333a24adb09a9&vjs=3,Aviagen UK Ltd,Stoke-on-Trent,Today
203,General Maintenance & Repair person,https://uk.indeed.com/viewjob?jk=7d0ebf276197c9cd&fccid=f753bb1a40104d82&vjs=3,McDonald's Limited,Tamworth B78,Just posted
204,Key Holder,https://uk.indeed.com/viewjob?jk=70f1ecf7bf8bf1d0&fccid=651e960ab7f98ec3&vjs=3,Crew Clothing Cannock,Cannock WS11,Today
205,Membership Advisor (Maternity Cover),https://uk.indeed.com/viewjob?jk=9b9a49c47f96f693&fccid=deca7ade2822000d&vjs=3,Bannatyne,Tamworth,Today
206,Care Assistant - Evenings & Weekends (R4B71),https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BkHN5MuXq49RNiAkGrAzI9PihHxoVKnz-Nq8Ht-BOdFdlSMEsTpx63F_xqDWCHOcCu-c3POzrL2omw-TSmXMKdg1NSPDdxL9CO0urkxqxB2ilbltt6n4V_wrdk3_jzOmwI4Kqm0k0Pxh40c8CV_GGsyjgXy_XzIXPwMnTKSOQuPOwJkyFEPlagl5-j-rFhWc8tQMDkfmxiF1OFbm9j315w8ejanRTLr51n30Re5jPIZWwABPyZL_q5GIDUzD9TFw8xNJGVlCMXl4WTxZaVvj31_-oY6hi4X7KglmtdQ913jlPbMfBD8iKu4QZfICw0lE-44ixEuBt5TcP1HhCHq5wp_ZFVLDl9ZBXufzfF9GO30mHajGDbK9Q5GmVSWl82C5JJO11u7dqORQOcHEjuAM8pkd-7t_SMU_RC__2H7T4iE9OWjWXo57uCGVdHVlkvsjqprC7pqzXmpCcg8EtKHAMK2lUpF6vuf-IdZx-_Ot_bvVkLL2-alyVk23l4P2WmfwGdcfS37HnZx43Ejx9n5Q-rGcHyaz70BJxT52ifMrZOQ2S_ibhC5rHG5bpFMcDQk0_G26B9a1LqFb_o8_Lkhtj3KRJ39RI3f_lqbBoxolz7efbxxRjGczL2QYFSdpdoaX3dYJJg5441sOeZ10wlbFgPM9DZMQQb7-aMr2xxJp7y_YDYNT5NyJSz1-wBrTsdUVHUT-AeoVAx6ZYmD5G2zRSLFwYvblkWWIrOInG_5TJUsA==&xkcb=SoAD-_M3MPXrHixGkJ0AbzkdCdPP&p=11&fvj=1&vjs=3,Cera Care,Tamworth,Hiring ongoing
207,Van Driver,https://uk.indeed.com/company/365-People-Limited/jobs/Van-Driver-963b6cb0f9bb3982?fccid=7d5bf4f2a5ec02bb&vjs=3,365 People,Tamworth, 1 day ago
208,Support Time Recovery Worker,https://uk.indeed.com/viewjob?jk=61a8aa1230e17f64&fccid=d923fd574867022a&vjs=3,North Staffordshire Combined Healthcare Trust,Stoke-on-Trent ST3, 1 day ago
209,Hotel Restaurant & Bar Senior Host,https://uk.indeed.com/viewjob?cmp=Aramark&ti=Senior+Host%2Fhostess&jk=4e7493e767194ce7&fccid=ef670f88bdb8a879&vjs=3,Aramark,Alton Towers,Today
210,Planning Administrator (Part time),https://uk.indeed.com/company/Steelite-International/jobs/Administrator-eed7a867b66119ec?fccid=8dd441e22cbaa5cf&vjs=3,Steelite International,Stoke-on-Trent,Today
211,Care Assistant - Evenings & Weekends (R4B71),https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BkHN5MuXq49RNiAkGrAzI9PihHxoVKnz-Nq8Ht-BOdFdlSMEsTpx63F_xqDWCHOcCu-c3POzrL2omw-TSmXMKdg1NSPDdxL9CO0urkxqxB2ilbltt6n4V_wrdk3_jzOmwI4Kqm0k0Pxh40c8CV_GGsyjgXy_XzIXPwMnTKSOQuPOwJkyFEPlagl5-j-rFhWc-Poa4uFiVZy2fgO5oYL7rsFIXAvX6rLAxLOMwzO9wei2Sbbj4RUe8WfhGfPCGKEvpwlqcmx-Zq2f9viBgGmNJ8j4J7nHcZZNebtbybUiHkBtf87yoe2HIJTylaxd4TbVwD3utlu3eIlW49wOLOx1NWuzCVgJlH3K0EbZSXRxMYCK2DSrrEghExo9DFoNG0XIPs7nGNCWSj1uJtS_TuDenL0GdpGd4KRxdte_Uzrzj4-Eclx7cDjeZQFNrF1Z81NJ9c9jN3XZto_FoLvSMEIT_rufp630tClcnJZqQnoAez2u3j1N-So_gSGYJgVsh6UKkP-tEWqbkcJ_L3tEsyH9L4yWbCFxXpi817-YDzPmvJ7niWyBb5YbeYdsrSho-aXuzJ--uUJ-Wg5OVEa6RHEpIMAFOfGMWg38KjZvq18uTmBngZQ1D-4ELBHmbI54L-jhmPFfFQDfUXUo3JVNU9h-vXsD4LXaGbdfH8SvJsx5GVqWdAsB_0nqXnJO7nwboTmoZPNnsHS4FKn2o6injDL0FvCQrTZleiYX4lk9Yy2nZeZQ==&xkcb=SoCK-_M3MPXqztwHIh0JbzkdCdPP&p=1&fvj=1&vjs=3,Cera Care,Tamworth,Hiring ongoing
212,Evening and Weekend Carers Needed!,https://uk.indeed.com/company/Nexus-Care-Services/jobs/Caregiver-4fbdc9aa783615a7?fccid=2ca6a54248c970b6&vjs=3,Nexus Care Services,Lichfield,Today
213,Administrator,https://uk.indeed.com/viewjob?jk=2015334ded14c854&fccid=c55f4ad42cee2cd3&vjs=3,Compass Group,Stafford ST18,Today
214,Accounts/Finance Assistant,https://uk.indeed.com/company/Radmore-Management-Ltd/jobs/Accounts-Assistant-b5021fc935b3e71c?fccid=5d7ca8e5f0bb208b&vjs=3,Mobell Communications Ltd,Hednesford, 1 day ago
215,Peer Support Worker - Step On,https://uk.indeed.com/viewjob?jk=a525210a48997820&fccid=7691ebb71b24124c&vjs=3,Midlands Partnership NHS Foundation Trust,Lichfield WS13, 1 day ago
216,Warehouse Operative,https://uk.indeed.com/viewjob?jk=6b370a62059476ee&fccid=1976b8742794eede&vjs=3,Pertemps Network Group,Staffordshire,Just posted
217,Accounts Assistant,https://uk.indeed.com/company/Central-Frozen-Foods-Supplies-Ltd/jobs/Accounts-Assistant-6d9bdd943cea91b0?fccid=ec95d72509704405&vjs=3,Central Food Service Limited,Stoke-on-Trent ST6, 1 day ago
218,Residential Children's Worker - unqualified,https://uk.indeed.com/company/Prestige-Adolescent-Care-&-Education-Ltd/jobs/Home-Care-Worker-9b0a71b03d87eeda?fccid=c24b5bb1582c0538&vjs=3,Prestige Adolescent Care & Education Ltd,Stoke-on-Trent,Today
219,Estate Agent Sales Valuer,https://uk.indeed.com/company/Belvoir-Stoke/jobs/Sales-Representative-19d0d1b0e85bed86?fccid=e8619cc62c2d28a2&vjs=3,Belvoir,Stoke-on-Trent ST1,Today
220,Service Coordinator,https://uk.indeed.com/company/Geze-UK/jobs/Service-Coordinator-c097c33a8573f57f?fccid=6fcd570ac477a111&vjs=3,Geze UK,Lichfield,Today
221,Landscaper,https://uk.indeed.com/company/Ariana-Landscapes/jobs/Landscape-Technician-c637b4ff46a39612?fccid=c0d3d464701133a1&vjs=3,Ariana Landscapes,Burton-On-Trent,Today
222,Finance Business Partner,https://uk.indeed.com/viewjob?jk=37ae2eb054dc3a68&fccid=af3cbfb671fbd7f8&vjs=3,Molson Coors,Hybrid remote in Burton-On-Trent,Today
223,Packer Nights,https://uk.indeed.com/company/PB-Recruitment-&-Training-LTd/jobs/Packer-036932289c25bf71?fccid=d2f9f269b38dfc98&vjs=3,PB Recruitment & Training Ltd,Newcastle-under-Lyme,Today
224,Cleaning Team Leader - Night Shift,https://uk.indeed.com/viewjob?jk=f1a939560de7c803&fccid=2b7983d6b65c6b71&vjs=3,Mitie,Rugeley WS15, 1 day ago
225,Production Operative,https://uk.indeed.com/viewjob?jk=c7283990c7c86782&fccid=52eea3a65ee31030&vjs=3,The Best Connection Employment Group,Lichfield WS13+1 location,Just posted
226,Sports Lecturer,https://uk.indeed.com/company/SOUTH-STAFFORDSHIRE-COLLEGE/jobs/Lecturer-c3ebe882945fcab5?fccid=6b6c39c5c938627b&vjs=3,South Staffordshire College,Tamworth, 1 day ago
227,Multi Drop Driver,https://uk.indeed.com/viewjob?jk=b67d872b7ca3466d&fccid=8b1ca0741a06b82a&vjs=3,Bidfood,Cannock WS11, 1 day ago
228,Guest Service Assistant,https://uk.indeed.com/viewjob?jk=89895ec6a21d18e2&fccid=62a77ef3071afff3&vjs=3,Holiday Inn Stoke on Trent,Newcastle-under-Lyme, 1 day ago
229,BT - Customer Service Assistant,https://uk.indeed.com/viewjob?jk=3de37d30e262935f&fccid=01b13e2d31da1c0c&vjs=3,Quality Service Recruitment,Burton-On-Trent,Today
230,Patient Transport Liaison Officer - UHNM HDU,https://uk.indeed.com/viewjob?jk=c12aa090a327d28a&fccid=dd616958bd9ddc12&vjs=3,EMED Group,Stoke-on-Trent ST4,Just posted
231,Kitchen Supervisor,https://uk.indeed.com/viewjob?jk=6413b7b022b8e480&fccid=b837c6e2d560a1f7&vjs=3,Slim Chickens - Cannock,Cannock,Just posted
232,Store Associate: Ski Department,https://uk.indeed.com/company/Ellis-Brigham/jobs/Retail-Sales-Associate-388929ef9647dae6?fccid=e9a965c446ddec91&vjs=3,Ellis Brigham Mountain Sports,Tamworth B79, 1 day ago
233,Business Lecturer,https://uk.indeed.com/company/SOUTH-STAFFORDSHIRE-COLLEGE/jobs/Lecturer-1bf13f588d9d2a8d?fccid=6b6c39c5c938627b&vjs=3,South Staffordshire College,Tamworth,Today
234,"Night Replenishment, Supermarket Assistant",https://uk.indeed.com/viewjob?jk=f943d4cd650e2a0b&fccid=b9f5533d3154a44d&vjs=3,Waitrose,Lichfield WS13, 1 day ago
