,job_title,job_link,company,location,date_posted
10,Admissions Representative,https://uk.indeed.com/viewjob?jk=0c39af965f421f98&fccid=1a92d5275856d1cc&vjs=3,University of St Andrews,St. Andrews,Today
11,Care Worker,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CKUK60_74Nsxk6O-Fd2_cooq8MOC3DxkJIlHSU9y5Zy53DBfUPSXaDxL7ZhxuPVH8-hMLr3QjWWV-moFPAjUpawVn5y7wnsAWhn-d-HRBwcAvG6oIiGwXF9u15YFmH49si989BjMSSkklqEJOCNehu-ziDnTAVmf0yXR1WWnGoeI5yF19JDbbq-pkGkpZSgF00DHqYL6EPmS6FAEndW823Mmy3brzrIv7A_vKa5gLbQGKmhFy_iN5BBbxjHhXU6KB0hzKPD1wAFRDR3gY-1AAbumqa6eqwzL-SQdYBH3gjdqCjZw6TkxfpIerCKQu3JP6MUwpZQdhuxqRgEiWmr1yDz03NFOoS5BEWw-Y-1Cu1w7LTuSkqMnfXp8irftZe4bOMPMIM70apChNk-3ZWF5Chygks_wzjnjzX70UBsL8P-i4kafyBpCd6oOaSNBTfRCd0-M5XWHhXFiXgy1nresC4vElSmCjgbTd7CwSwfIPBhshWju42F3y8v-IV8o5zWDAWVKRQhe-IzQ==&xkcb=SoAi-_M3MPeFRz2zM50AbzkdCdPP&p=11&fvj=1&vjs=3,Balmoral Homecare Ltd,Ladybank+2 locations,Hiring ongoing
12,Domestic Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0D1BJEw5sguIU1YV21XdqSjJXYcA8Z4z-MyHjgi98wRlkUmN7saKO4NPnkVI7f9C6uMXsz1FisftBtKZSZFE4bNziyP2fQxtm_QzSBF6f4dh3xgjQBOnXo4z9wtmNGjnoy4Fn-HADtLJ3MrqDnR9c7miQY6x6EvMlBXCQwjbhdCs3EGHUfMXWxbIecVYcdw12vN8iaKH5A1JiTMLkjC98r-L5SCAnSvNf0A7IBd_fQGFYR16RRDdeM1rdaLB_fjH03tINEysFS5SdzLTEqEvXtYFXVq4_d2jm-kfcBlfKueLfvHgkampDnfOTHL5zbAIlpV55BEm38wFLDHZnbukK0NT3QyB0nhMLw6EJbbuaTv01a0wp2kZ-SEumtWKQz3ZGugnIgejUnF2Gxhv7u3Y4adJuhL11p2Iko4CG0MmqYtBFQhOp9W0nrsn4rBWXoT4tVARV6S3GXkUXVurWEElJGO7njS-bO6PEcNwon-QPQnYi3VpPDzbKG6jRt-rEuEAqY=&xkcb=SoCs-_M3MPeFRz2zM50HbzkdCdPP&p=12&fvj=1&vjs=3,Holmes Care Group,Falkland KY15,Today
13,Clerk,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CoZEDu__g6PeKtOQ1fst7I3_lnXqXEIEJKkr__C76ljWCtVAfXe9ejEFWpdD02ZFp_trfGf2tgw84afPcyL0C1xYbAHT0a5FvL40BeiDtiH7SSWzpIgtOpu5IcOYGMWb9mK_UAtS5CSwcBgUSH8G7fPGUzr1v0dbd5piRUCIqXRKkICLhfeJYWRvulwxr5SB8Ta8A7JswJvjU9Nxi3fKDvMuwbi1eZZXO0UYFzNsfDFSV9ki9T9vU8W68YCAabTvu9e7dJ6MvYjU2ED83KBj4MaA-f17CYsdKclXDIye4AgGxBxxrVRCG8e2s6HSEFX_PsCs3xyMMb9-GiWRKZxJltF22wh0uTgX9F_Kwill-wcbW7pZ0E4dz8QhjVot0NMsp4zqAhb4ynD4x5G75x5r1BfOj_QCATtZasO6SfKMFDJnwUX3sAMfyA4_90ksR9i0CsihVMreHk-iK9sDJ3yy4zf6stGGdPVdDOobwk7SscpQ==&xkcb=SoAY-_M3MPeFRz2zM50GbzkdCdPP&p=13&fvj=1&vjs=3,Clerks Academy UK,United Kingdom,Hiring ongoing
14,Team Member,https://uk.indeed.com/viewjob?jk=568796f6db919eff&fccid=d3b713f1a4f90dd3&vjs=3,KFC Kirkcaldy - Central Retail Park,Kirkcaldy KY2, 1 day ago
15,Delivery Driver,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0A1ctgBjQaXxCVJyW448m-pebTOzPfzSsIcvgSnD8_Q6at-JM77OsKZi6cvgUPg28vIaKpQx5csnLLO4QnnEv72ng4YDpN0bwyYQ_WtJFxibkcN4yBdw46oupmXTeTJpWJ6aSiK85iYllveU8WMyAxYFt-na-CYkmJp9V_eZzffX9PzucCbuQduluQybQDH8-EYAo33kASEOlB7K2FwE_4dP15PzXkpgRLFYOZrU9tRI2EIDW7XPe8g85zjQEDFpvaSLxB3XzNH_hQNzOxXl-h9zuOszhfTd-fFH3tK-reszMj2I3oTPtoonHCD70q5ctXH6-4xxg4bUtFKs-BjXGKuaTvhz8rUMZuzuwePQt-jJiWdHhM7Pve8RfNe9z06dKhMx7vJ-w_LlGha-jRKNrLwsZLrV1fJBRFL9PkZawO8tdkXpGUf5wVy_g8_sKYK08HZms-5embW1eW-j8MxFgjsJfs3qWiaxZNLLb_6GfuBm0YU8gM2ux_u&xkcb=SoAE-_M3MPeFJi2MMJ0LbzkdCdPP&p=0&fvj=1&vjs=3,Gophr,Glenrothes+1 location,Hiring ongoing
16,Admissions Representative,https://uk.indeed.com/viewjob?jk=0c39af965f421f98&fccid=1a92d5275856d1cc&vjs=3,University of St Andrews,St. Andrews,Today
17,Shear Operator,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BaX_rb4rX4QeoDJ3qjMVVH5VFs_6zd8vC7pBgku_gNFKu-YNUAW7jkfeiWUD-ROaYQBeSBGdlEHlZ3MuKF7gN4lO1RhgdMShf_d7eijuXEgARBk3em4S_JuK2njAS_XbixAPtU96pHqhg6OJyKyc_H_Vz5BzeXR2sYpzvRHuQqC6s_EIre6hz35LSLI2VrH_6rsNxoQfJlGB5Z9GA07CrU2FjDjCy1UDegvu27RoHCTPuzoYnK4fZFDKxlDpCjE8xi0-GrgZ0UCtDp8w8gkUt3jikfu6Fursd8fzRWptFnxqz8230w1Qyj6lXhb96Goi1G5j9pBFcHYbPywtbFhhAK-m61fDzvTJafPzVJfW1MGnsLOzQL3xHX_d55RlxIPaxLc6yZKxeegpIcnK10AOZZw-dODICOuAzPpenKIh570PpAidtbf60-MO1TMjPfsv_ctoV6CufzlhKu2U0NYQic_qlTUU52mAQl8RGJsyLlBg==&xkcb=SoAt-_M3MPeFJi2MMJ0JbzkdCdPP&p=2&fvj=1&vjs=3,Robertson Metals Recycling Ltd,Inverkeithing,Today
18,Hotel Receptionist,https://uk.indeed.com/company/Smart-Dream-Hotels-Ltd/jobs/Hotel-Receptionist-a805a005f4a2e0bd?fccid=3828301b9cbf76d5&vjs=3,Smart Dream Hotels Ltd,Kirkcaldy KY2,Today
19,Parts & Service Advisor,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0Dh4UpvVd4lipkBBtPs2B_OHFVuYychAS77eTmUw3Of6k8rhyo1Wih5TAA_PzJf_EkyO2B8xteDzY6B3rYLdOUbTgCRxyk-dHsYwAzyUFSB9q1jQZDq98NTouEyQXW7kBPX0JlplqmMeAeDsgC9eqJNc-yETz0BtjzL3uoDpH8bw6HorDMGfg5hzP-FZ4TcrxlSXfg8hLgCHS0BFbKtMfFrpDybaGGxrFXrF-sXmL3UU0outqdL9xgo0izX9NJqDjypoPVRi2Sw6hCnyRiUGDk2D7KJIUXYaIhsCSUUm36YGIAKQqzec0T4SdUQalGVG4Edjte2zcpXRUO9I0Q0nC6E54jaK8R07pGCEYawiyCb_mrVT0FAW07_DlUq4l_mzRK5yzTu5q277uU1t9vk83YYLfllfdIFF5iCBfSG0RL7Nm4giN0UQ7hBaVBY-DekAzNN5-47HDuE1U7NQXlyr8dysxTPl9OlELDyGHvP3An_h27RNGosiggd&xkcb=SoAX-_M3MPeFJi2MMJ0PbzkdCdPP&p=4&fvj=1&vjs=3,Forth Grass Machinery Ltd.,Dunfermline KY11,Today
20,Team Member,https://uk.indeed.com/viewjob?jk=568796f6db919eff&fccid=d3b713f1a4f90dd3&vjs=3,KFC Kirkcaldy - Central Retail Park,Kirkcaldy KY2, 1 day ago
21,Night Shift Food Production Operative,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BBwFWCQjvjiLBhu5S1-hW_rgFQoIeQjj62sjvOsZyTzDCrkATRCc9dXBDDQML3X0loQViy9fMst-Q9hZo54Ovlkd9frpDxewVRH4o0Ke_T9CzxFzgrXvO-14XYPzSnPu3Z5lNrTA7W68grYmQByiHrQ1ntKhE5x2F7fbclFrzWG62fFlAeBkA_2f4oRBmCiQo5Jj2SgGbe3z01C0a5LdXMFlHQVT--WHmlOSIOpJX9Qpwl9ZUE9kML8UCbg87pjL4puevbBL0YDeKbosYHVcF_eb7VVvSeTZm59HnV6PUDDjaTEC347RI2-pO7ssXgiFw5266x13vwf57kn-WcJt5nBU1UCdaHr4FULiYAnfz0rSiOcPohGAXmPOv9lFRcVcZmZJxJ4nKVdAaWqn3Sr2yG0DGwGSAx2bAG6vE4kj6_pAsobkAnoLl8K0O3zUqUkjqjme_3_W-r5-tsif1p4s5vqFAm5tZCQ0apLlIBmcEqp2B4htdYfatbRuJ6AYPGGSbOxXM_o3-R7zSRivBRAMtitmL-LNcrYZ8=&xkcb=SoA--_M3MPeFJi2MMJ0NbzkdCdPP&p=6&fvj=1&vjs=3,Taskmaster Resources Ltd,Kirkcaldy,Today
22,Team Member,https://uk.indeed.com/company/Papa-John's/jobs/Team-Member-a99c008e6bb06d93?fccid=f02f781f1660816d&vjs=3,Papa John's,Glenrothes,Just posted
23,Quality Controller,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CHtZ1ki7YB0QOETENCXIPMeqYT5azko3Vq6NlH0-yGhP9gpSJmUWBxxx8Q2VHUHxYllR_qTD-EwpY82jciOEvh9APmVry-Kmbc49d7dxeVlxZkdRuwwqk5-Z8H0kbM67zTrKqA0vKSNu5UVTASXchydYp7da10wwICafyjpyu0v5DglJXmVVUNtpzyF6IDcLlqN4N4EYxS8Rsoy_7oECKbgu1WxLR0_BiCS8KLeDziyp-hY7f2ERRAKapRAlKsD8XWqw0VeDmApaXg42jNqpZvni4xf-q2ur2YhkY6jnn_uGHM_dTF5uofYn3ZPeZA9J41Az3j_8NtBAUX_NoJy4G8wAa2G66Ewwbrel5-s7ETgR-IPJoMISS7T8pgt_l5aj9am0LQVH899leswah0Ne3RugF8866cpB4EoE1x46QLefV_M9LIGeORidKbmY4ntJQAOJYclNTvqLWiHuDMer0IBIpNYvBkCqnfjULCBa0PmqtwHs2W2sC30nFcI94RTig=&xkcb=SoBj-_M3MPeFJi2MMJ0DbzkdCdPP&p=8&fvj=1&vjs=3,Be Personnel Limited,Rosyth,Today
24,Production Operator,https://uk.indeed.com/viewjob?jk=e1a2726cc083cc6d&fccid=25695de265ca35f4&vjs=3,Orion,Kirkcaldy, 1 day ago
