,job_title,job_link,company,location,date_posted
10,Sales Assistant,https://uk.indeed.com/viewjob?jk=0ff0cba09030da63&fccid=2706a9624c077660&vjs=3,Topps Tiles,Shrewsbury SY1,Today
11,DELIVERY DRIVER,https://uk.indeed.com/company/A&A-Subs/jobs/Delivery-Driver-450827270cfe43f4?fccid=3a2960d581540e87&vjs=3,SUBWAY,Shropshire,Today
12,Administrative Assistant (Full-time),https://uk.indeed.com/company/Oswestry-School/jobs/Administrative-Assistant-c7658da19145b4ff?fccid=d811208912b1b557&vjs=3,Oswestry School,Oswestry SY11, 1 day ago
13,Customer Service Administrator,https://uk.indeed.com/company/Nwf-Fuels-Ltd/jobs/Customer-Service-Representative-367a6ccd301c9519?fccid=812b39410a1be74d&vjs=3,NWF Fuels,Oswestry,Today
14,Security Officer (S),https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DAuNWN56ZMSzCo5HntiQ_D_x1Guf76ifd0nwL8yQjOG9fqC5IShRBrF5XPBrpEaR4nF6LWsdzEG1hJxfyeEStLaoOjxhrdvcKMrVblBCWgBIetFYBtB5kSJPJP2x2ZfB41ljbScOfm6ps-uU9e8zoNXwAOVguSyneHjnM7Nf0cFG9pdS8qNsDWQeeiQ2SugWfZqk_yRnLTuSk3CFGfjmc_NfXqGJbAAZKwiJRRNxN1c10QIgwvag8ec4Fz8SNeIU3sSv2v1hAZ_H7xriymjs2RQPrpVYw1jkPI0HUV2h4hexXTuxG1qUEl-sdxhnDdic8GABzOTljNaRQplSbXFzyb6dxhDPfqbqm4f_CP1620eiq0bbsSKv7tcPC0UoGj8jj0149GxvgkRubk7zKePgr6P-8hAyioUHnU9YKsnLX_ViLa7nxjaw2GRR4PICQvEOELM4za1sTPpi7VEf5UGKzK-0lC_-d_eflxT7RXMfTvOkvrML8bzG7vjoSOMGdfnRd3m4rYSkTIfA==&xkcb=SoAR-_M3MPXGkwR_hR0EbzkdCdPP&p=14&fvj=1&vjs=3,SmartSec Solutions,Shrewsbury SY1, 1 day ago
15,Customer Service Administrator,https://uk.indeed.com/company/Nwf-Fuels-Ltd/jobs/Customer-Service-Representative-367a6ccd301c9519?fccid=812b39410a1be74d&vjs=3,NWF Fuels,Oswestry,Today
16,Veterinary Care Assistant - Lawley,https://uk.indeed.com/viewjob?jk=62738139a439f92b&fccid=71b4626b2c9629de&vjs=3,Medivet Group Ltd,Telford,Today
17,Technical Author,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0C8cmohxD4QvGw19qfQJv4oNbJTlJB68ixuZD4agc2o6BIab4B6iXqPqXZXZRhFX57yQGwuyqBlrEUkdY_bJ2GN7p1I6NYcy4QSsIYlBRmpkDcg2amo4His6uFFloVCeWgyjxgrrc-lJC4vB21zGk1wNvOyZQm9lJAw8ZI_JY2wPhNNyc1W2bAnDYIT2mR8WSzwr8k5rSqQoAqdBfVBCaOTERJzL4zFzHoLEi1bu30w8dd-t-teXYU6Bk3of4aQZm2R1Mt2V8MpsfHb_qy7AppVVkNJEbAHyUyhuhM-MWB5lYQkNVhISbhlnPrNifSXm4znyW5FWqzQfP5M8vmf25-l6CihJvMvNPssYW2TcU6DdOAIsnTC_2Tyq2gS4g6BVw6Y7yvQoU5uWUZD-vhwBXdYNGsK6x54pIoffiDRiHTKY_eM3MnnOq5xHDFCC3_1js7jJpe5bIyajbuIMbaYfxkT1-RC1OSjdLBr057e7TNsphX0J-Gq2fdnzjXf3GmeBji0ZuUzRWA6Vw==&xkcb=SoBP-_M3MPXGfSSS5Z0JbzkdCdPP&p=2&fvj=1&vjs=3,Upstream Solutions Group Limited,Telford, 1 day ago
18,Legal Assistant,https://uk.indeed.com/company/Ellis-Jones-Solicitors/jobs/Legal-Assistant-fbb83655c0caf4f4?fccid=fd818faa227f5939&vjs=3,Ellis Jones Solicitors,Shrewsbury,Today
19,SDAS Senior Support Officer - Outreach,https://uk.indeed.com/viewjob?jk=7e68a53d4759e7f5&fccid=c089b684fb72ef0b&vjs=3,Connexus,Shrewsbury SY2,Just posted
20,1:1 SEN Teaching Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0D10ZcEV_vBxG5p95crueSmPrInWIgcwz3AYKV5ZgQh3fuZWacWIZCEN1GPV4XXAzngRftfziyjnLhfe89Q8SBgtVGYGm6Z1lgc2V7d9x7-HVXrPtMWO-SiWleyYN-hPSKIB_sDTUdKwnCq1Th646xll772AglezFhBwsHPWACE-koArJ2BiSu7dcGrGAzqqzBpXqo6YJYqahAydl1Ico8GV8czfXues6mZeqw2ub4iamL7C-i_A_IgJTJ8DcZM40VLnzzu0HY3ildI3_MtEv7RcBUqyYJ6NOQw8gdQFNT5J3Rb60lBLPbKc9n2XQ4WQQajyj-MJvXv0NTdsTsTX5xIWoWGIbB2MpAJPVL7rsA-TLrelSEJLGkeai5olp6O9RuRoyO14e3d-RM5CnxUL1MQDFtoE7wDLrgC1EB3lh32mxZFyBt5kK7BBNSSHYYG8e-rGgUcMFDvKZBJs3pfsGKFf8atQ1jICFAB6amIdJBv1YCydZbR9BKHhQJlarQv6YlSjmZDyDELg0N4dmeC0SuP&xkcb=SoDB-_M3MPXGfSSS5Z0ObzkdCdPP&p=5&fvj=1&vjs=3,New Reflexions,Shrewsbury,Today
21,Psychotherapist/Art Psychotherapist,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0D10ZcEV_vBxG5p95crueSmPrInWIgcwz3AYKV5ZgQh3fuZWacWIZCEN1GPV4XXAzngRftfziyjnOUn7VGkGg0c8ZevE9t653bo2VDVzsdvTlFM_A36U8pm8mt6l8Kb_H7b-F3d1a04HLrrBUnyEmbCTtUFQzcFB1P_DGKfgCHwICrIBuRpG9vgpIWIozf9LJcGE_K6r1dUK_r0THaTV304pw1tzC0rkk9aFXykqDihklTcsxrao1huYxGAeSVnKOZeST59j9ksrM4ojmoY4gsq-8OpBjXrR_0k0ofQn3rfxd4H3Rh74VHZbCtICJLWvr8CojqERxBfwGr_eeM0bb_eiPGzyzD6kcAPOOUrP8jUIY7msNN_hVuNVOdSyMg7rlhFseZFGnaJbRBQGq1ZWs3MfYMVTF0kqqw7xyQYyfZMpDyFG2QLNXr5Ny1Nt1_-mti7LLIV_vKm7BaTCmYpDPtkos01mWj043o9jjgl3PWJUmvoH36n-c3sP3TsBrbus8Ghfrx4imUxK0pCTPf94Pjd9fZC2dbwoebzoZbU5wAFCg==&xkcb=SoBc-_M3MPXGfSSS5Z0NbzkdCdPP&p=6&fvj=1&vjs=3,New Reflexions,Shrewsbury,Today
22,Office Administrator and works despatcher,https://uk.indeed.com/company/Dynorod/jobs/Office-Administrator-07bf5fc30ace82b3?fccid=635ae175fe9c2951&vjs=3,Dynorod,Telford TF2, 1 day ago
23,Quarry Operative,https://uk.indeed.com/viewjob?jk=54753847775554c9&fccid=50cd062a886837f7&vjs=3,Breedon Group plc,Telford TF6, 1 day ago
24,Sales Consultant,https://uk.indeed.com/viewjob?jk=6b6a8f5096004b3a&fccid=54473fdf887d42ee&vjs=3,Bensons for Beds,Shrewsbury, 1 day ago
25,Order Co-ordinator,https://uk.indeed.com/company/Caviar-&-Cocktails-Ltd/jobs/Production-Coordinator-15bdefbaf6f413f4?fccid=38db52fa29a4c000&vjs=3,Caviar & Cocktails Ltd,Shrewsbury SY1,Today
26,Senior Care Assistant on Days,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0Bi9fSdG0Uw0dKWw-XNg66bsHUwSaw8PHd1AFMCg8ol6mE6Y8kpoQT6_7GaB0QTv7rSYJ0vy3bMzdNaEfhbEUFINc-ECQaE1AEA9LRdgTWo4R6kI8-r7MXsM9w_m0lowpsQawHdHBFGtptZqAKcfTTpWIVrXxGv2HKlZqfSPIgb0RLaWUvV9TY0RuoIpefvD3I029724OT4qS4Bjm4DoHhPcF_pOSw2zUJ_tWP-nEXwkxFjFsNHA1Soc1whdzIKSJnRvvzXJQFX409CfUonz68Njuj7WY2Ji44fGgDkOUnA-CToVZ81Xihy4rVIgHrdiYC8vxJxLC7fTLjJrdqxGtYXdM3hYIMojJ-3wno9fDP-S2-t9X2AhsPqutQq2Zd4elRLMRt42yuxGBnvHJT-Xt6-4F2xpzLAtxkmXvo3XO-q1l89pnR_vptZRDaLj3cqxHIyATW0e3eB9dfYMSBiFLPQOmr05T4iqjH_V5v7ZYuiX6AkBYLMKA4IHDIsVSuS3ogopckzyB6PlxVscaEMs11-YnQFNwRrboyQjYxK3wrXHg==&xkcb=SoCc-_M3MPXGfSSS5Z0AbzkdCdPP&p=11&fvj=0&vjs=3,Ideal Care Homes,Shrewsbury SY2, 1 day ago
