,job_title,job_link,company,location,date_posted
288,Steel Fixer,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0A7KtQDPZuZxd67b_gyrS1PmYYM07hZ8Cb58YFMTlNlY0nRABpEETsnI1qPNKLqVrxuxg0wkAoHTM26kcBXyt_r5VUsGFT0zuzFY0j535BQBZd-5NHOK-8_rgHTCMONdqhIDe_FESWMzgBrq4EW6WSnnjf-_Vz9hnOxt0g0fmRjraPYuV5YQC5bWNkrsEmGVObywwjpKBVAGMCvuPy7aJLC_Pd963G0UVdOWALWg4O_qOYAff9hYy7SZN75qxiDCzSnPGO5twuU6umG2WFM01TSMMbnxk14kRF0sFBJg-uT_rdOdjEfFCHhyh_3SnI05RUNHKR9AkL6zLqGgbV6XMWnClDgZL7qcLh1FjG7nNPoFF6RJL9DK3-CE_PwiB1Q8_gqLDi-kzEF9e6axlM_8jvBjaDWEApbSaVn8KXCtA9X-l1vZUTWsD_44yqqXx_H1j1YwbUGX6RjoNcflU0fqefnmBijV3etBQ59EJ8Nme8fT3q3_9c2AOVzj40uSgnECfFI8oHwlaqLo8gm0qREoscx&xkcb=SoC1-_M3MPXaclWMMJ0IbzkdCdPP&p=3&fvj=1&vjs=3,Options Resourcing Ltd,Castle Cary, 1 day ago
289,Sales Advisor,https://uk.indeed.com/viewjob?jk=40a1fe16cfcc8a7a&fccid=6d6da723c32685bb&vjs=3,Rohan Designs Ltd,Bath BA1, 1 day ago
290,Barista,https://uk.indeed.com/viewjob?jk=938f792b7d64e25e&fccid=56cdda650c544fc3&vjs=3,Costa Limited,Wells BA5+2 locations,Today
291,Payroll Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CLu7FGotzBXVtyrSFRiV6lwlV0Tp9R0jbSlXavi_k3JO4aHNeOq3eDZhGuTuuR8H3ckaoCnM7rmq5heaB4wsYojrE_i2Me8308laE7Tc5T3IcODR1IWS1ozwknEJvm-7lv9sqpuusAHFOEcVEThs1MBFx6Cfthi5u0om34HtlZEUL90JSVNMAwCj-dIDm5bSMUiLbsimx68vSFgs8O8R3_F83mcKfCypcox9C4gK7oZoqGL6GXazUewrrKg7Gb1XdN6Q-5jxr4HkUKjV4D0M8s7uh-OKeLz8ZcAt7BE0ju83Rds3E1niI3DG5aWUctZ9v-_hRo8Q0p3riObGSQNsqqjMzHJilLl_XzZZrZseZXD196tRZYY2UFgDd2EUgPXrVy2-TQ3jSRdsTFuBabI4qv7em8UQewweVS0eXpCBZzth3iP-IP6lUB-5OmTrAoJTCtLOgxgzdO1xRXHQA0RmCaaM2c32sN6I8hRmMdsW6aYV10cs2z_wHSh5pE_P6Sp33o_adOkh00ey9c95uhgrQ9ypL8Inq5K4A=&xkcb=SoAS-_M3MPXaclWMMJ0NbzkdCdPP&p=6&fvj=1&vjs=3,Enable Futures,Hybrid remote in Weston-super-Mare, 1 day ago
292,Deputy Pharmacy Clinical Service Lead - Band 8b,https://uk.indeed.com/viewjob?jk=25763966908a5bad&fccid=7691ebb71b24124c&vjs=3,Royal United Hospitals Bath NHS Foundation Trust,Bath BA1, 1 day ago
293,Community Support Worker,https://uk.indeed.com/company/My-Day-Care-Services-Ltd/jobs/Support-Worker-3e309ce092abb4f4?fccid=6111e096694e3ed9&vjs=3,My Day Care Services Ltd,Bridgwater, 1 day ago
294,Linen Porter,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0A-Sqb_Qm1U39LoEC2q9ED9Y18Oegiztu17XRjC-gbkBS0yBixG9Wgl0yHtCNmu1ZyMG3qT1ZdzuLpgAv7witAGOqDzYX7N_9vGEgrJ4rk81CCJrf-l-P15sPnkk1DVN8aXxocx8dAbF2OzQTIwefssnLilUgI77pNy5KFU0cmF0qscHG1OAQK6XUE-4akYzTfSB5RJsJ-U3r77h92nV8D0908d9lAon41nc9zdiACG6dTjNlkej5PdNvGoxevWrp51DpXceM4_44U4PoC0P5UAOfuwXqMxgOSH8qV8Kr087W-j99UviDAUR37i4WB3xJpnAr_ueQFu15sJWdf2qP9-zCdMXZVRs-t9YUfNi-CD5l0zqTXursoxo-6UEJjcuq_RTIN5fmXfx6_gD3yUkKKKOrBG_8R5NX4pUZeYsQWnOHPE-V9DrOHaDjLx_HjqkmGh6aro1hAHqhvkAD9HBKDMzC62AR_4Vhyial4A4qt7PMvkq-RES27O&xkcb=SoD7-_M3MPXaclWMMJ0CbzkdCdPP&p=9&fvj=1&vjs=3,The Upex Group,Bath,Today
295,Care Assistant,https://uk.indeed.com/company/BLENHEIM-LODGE/jobs/Care-Assistant-7a0573b41f6cb10b?fccid=7b1456037ad65755&vjs=3,Blenheim Lodge,Minehead TA24,Today
296,Conveyancing: Post Completion and Administration Assistant,https://uk.indeed.com/company/Thatcher-+-Hallam-LLP/jobs/Conveyancing-Assistant-16687a4ad9bf7ad8?fccid=254f24ad2fdd575e&vjs=3,Thatcher + Hallam LLP,Midsomer Norton BA3,Today
297,"Facilities Coordinator, Bath",https://uk.indeed.com/viewjob?jk=78a5a9f163e89936&fccid=d8f0116e5557ee05&vjs=3,Feilden Clegg Bradley Studios,Bath, 1 day ago
298,Volunteer Befrienders Needed (2-3 Hours Per Week) in Radstock,https://uk.indeed.com/company/Time2Share/jobs/Volunteer-5da0b1510d4a2808?fccid=9c7cd9ba9512ae5e&vjs=3,Time2Share@WECIL,Radstock, 1 day ago
299,Customer Service Administrator - Hybrid,https://uk.indeed.com/company/Juice-Recruitment-Ltd/jobs/Customer-Service-Representative-f39f7b80f74182bf?fccid=263eb1d2fd3a55b6&vjs=3,JUICE RECRUITMENT,Hybrid remote in Bath,Today
300,Care Assistant,https://uk.indeed.com/company/BLENHEIM-LODGE/jobs/Care-Assistant-7a0573b41f6cb10b?fccid=7b1456037ad65755&vjs=3,Blenheim Lodge,Minehead TA24,Today
301,Conveyancing: Post Completion and Administration Assistant,https://uk.indeed.com/company/Thatcher-+-Hallam-LLP/jobs/Conveyancing-Assistant-16687a4ad9bf7ad8?fccid=254f24ad2fdd575e&vjs=3,Thatcher + Hallam LLP,Midsomer Norton BA3,Today
302,Customer Service Administrator - Hybrid,https://uk.indeed.com/company/Juice-Recruitment-Ltd/jobs/Customer-Service-Representative-f39f7b80f74182bf?fccid=263eb1d2fd3a55b6&vjs=3,JUICE RECRUITMENT,Hybrid remote in Bath,Today
303,"Facilities Coordinator, Bath",https://uk.indeed.com/viewjob?jk=78a5a9f163e89936&fccid=d8f0116e5557ee05&vjs=3,Feilden Clegg Bradley Studios,Bath, 1 day ago
304,Volunteer Befrienders Needed (2-3 Hours Per Week) in Radstock,https://uk.indeed.com/company/Time2Share/jobs/Volunteer-5da0b1510d4a2808?fccid=9c7cd9ba9512ae5e&vjs=3,Time2Share@WECIL,Radstock, 1 day ago
305,Application Support,https://uk.indeed.com/company/Connect--IT-Recruitment/jobs/Application-Support-Engineer-c8dd29fd633a5f4a?fccid=fb9dec17e4a1fa7c&vjs=3,Connect-IT Recruitment,Bridgwater, 1 day ago
306,Sunday Supervisor,https://uk.indeed.com/company/Parsons-Bakery/jobs/Sunday-Supervisor-422ff6caa3a8ab52?fccid=8dc3559819df7922&vjs=3,Parsons Bakery,Bath BA2, 1 day ago
307,Janitor,https://uk.indeed.com/viewjob?jk=8a3553bb8e7b7f7c&fccid=2b7983d6b65c6b71&vjs=3,Mitie,Templecombe BA8, 1 day ago
