,job_title,job_link,company,location,date_posted
10,Roofer,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BL9L-i8c9fADMrO7N2T58mPVBkew6Q-MSCTfPGr_n1da6BtFBQTTWFn1QPMIgCKRn-NkPCvjfuyr-R2yGPdrWOJCX8_VkjMtD_-Bwt0bBd6WCybmzZ2J9lnW-TzcHCbar0QAchR4LlyiScq9weI0Wnj7TOORI7vN2GM6M_kaN_reYSID36MdD-ppHTmJLBflVp33iF3xpu5ayGPvq-FA_4e3c7xsyt4-hcjYPzLSuiiRqYuI-NempggVbsLEohUMiil6vTc2xSL1ehiahUyRRH4d5h5ZfoAqyZUvQBmsdG-fkhipKLB-wZFGOUMyMe_yAFZctBpdLakXmR2qxc5XTYJ_XDcM1YC0JZ8dV-9ZdhQR5KmIjbz9DIZxRz1u_5fFhO96APklxRfJOeq4oiftu0k6ASK7EqwNciaYjc_8TzrFnkGmm5EYERspdSH9YrrotEKVI8u3ckcNomirqyNadMqMJFe_Ox4-YaRlCjilolKaB4ApZsiAS0YpxTh8ZquTg=&xkcb=SoDe-_M3MPWTsjRuRp0BbzkdCdPP&p=10&fvj=1&vjs=3,CPR Recruitment LTD,United Kingdom,Hiring ongoing
11,Employment Advisor,https://uk.indeed.com/viewjob?jk=0c3c17be617ef9d8&fccid=1295ddb948145c64&vjs=3,Northumberland County Council,Ashington NE63, 1 day ago
12,Beautician,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CtwOkgDuej6vPfWODMxjOIyNEohQmdYMppGq8y8dOpBl44qskDINyjIWzxH0grVbLAcq2Q1aHV9Smc_S64_liFuZnJMlUsw4eD-79-WnQf0AaV88wn8YH1ei_HAiMpcGqnUyFMgko5k9AYLlHNi1BBlIKeLXUzcb0kn-dTg9hVIUbZxPcp2CDvgLTwU_zO5Kp-dpHPK6A0gTqC0Cl_YnE3_9WElB9w843QQiuaAnYLEmOgTqGBMGZ1unl54ReCYTw4GupKDM0f6zcRIun6YglDMoeCfbRBWGCyfv0_o-eL7YMCHacQ2lWaCoogKTTj3d8SGnUfOs33668Da9Jwg7ZOIPthtj9Jf_bWk3Gq-_nkoPmkKkLhd3IcaiLalOgGOEj9HDWXJYVe78gRXvjUA77aYSUorMYAxsBk_AC1g-rdVAw3LrwETMlMQNygP4kGmeolgrW1ewObZFwpH2RcmpY45WRATI98QDxT92f2R2NFrPpPj9uZBbxbRplB03GtyIHnYOkO_4tD6g==&xkcb=SoDk-_M3MPWTsjRuRp0HbzkdCdPP&p=12&fvj=1&vjs=3,Morpeth Retreat,Morpeth, 1 day ago
13,Administrator Assistant,https://uk.indeed.com/company/Embrace-Law/jobs/Assistant-Administrator-eb846bc5f1cd4bcc?fccid=1beaacd29a00f548&vjs=3,Embrace Law,Morpeth, 1 day ago
14,Radiology Assistant,https://uk.indeed.com/viewjob?jk=eab90660d0ed6413&fccid=7691ebb71b24124c&vjs=3,Northumbria Healthcare NHS Foundation Trust,Cramlington NE23,Today
15,Head Cook,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DwCv3MPBdeLdmiKgNKmI3O2xab9v3HGJj8Hmvyi3FNHfjMhYEVNpO_ZoJiL6rVRDM29rsJkqkQsbs_V0wYJDi0jB_cVd59u5bNAyqkNu2i5mYZBOvMjfPJn8SA1o6t5ejInayYdhXn4rWato5pVh3hHJDXMmqZJLUIf0j1M5Q6Yv-3n1TNye2ov3mxh6SANMmHtzdDWaMAFm2v5obu_PTd-9CIDku4CtJdmXQg9pCL9z5Ao6AIEdV5DWnGx4LadjzrpmGGQkRgeD78fnXPct4_zCtNQBGIcLeWF4U0FBcNap9efwJba9pHcM93ueJ8FtzwODqAMkeBLQHdvzzMg_LA9zTaF6K2Tr-z-Un3GjLuEbz_4BeNYUEHM1qbifIfnOO2uTsic9bWkyMo7NNuyBKrE_uRS77-p_4XiGk93dByFPdsU0WGI3ZWBR6P7LXiR-6YFcbw-h4PHNakNmVkW4G14r4w92l4roDNLaDQpAdoHXfoOLKQJRYlvhUW-XnTX6k=&xkcb=SoCw-_M3MPWTDax_px0LbzkdCdPP&p=0&fvj=1&vjs=3,The Charlotte Straker Project,Corbridge NE45,Today
16,Retail Supervisor,https://uk.indeed.com/viewjob?jk=ff9b9859fe186893&fccid=c0a833f0910fb667&vjs=3,English Heritage,Ponteland NE20,Today
17,Front-of-House & Media Associate,https://uk.indeed.com/company/Tempest-Martial-Arts/jobs/Front-End-Associate-12ce9e70a787686a?fccid=013988fc66077b25&vjs=3,Tempest Martial Arts,Blyth, 1 day ago
18,Receptionist/Appointments Clerk,https://uk.indeed.com/viewjob?jk=3217da627452c8e5&fccid=7691ebb71b24124c&vjs=3,Northumbria Healthcare - NHCT Northumbria...,Hexham NE46+1 location,Today
19,Security Officer,https://uk.indeed.com/company/Sterling-Pharma-Solutions/jobs/Security-Officer-3095782f2f0561bb?fccid=9e25ad6ef18666c4&vjs=3,Sterling Pharma Solutions,Northumberland, 1 day ago
20,Senior Planning Officer,https://uk.indeed.com/viewjob?jk=ebbfcfa25f6e0c25&fccid=1295ddb948145c64&vjs=3,Northumberland County Council,Morpeth NE61,Today
21,Sales Assistant,https://uk.indeed.com/company/Penny-Petroleum/jobs/Sales-Assistant-b1006d8154a9a6c9?fccid=4f25dbd210c3d636&vjs=3,Penny Petroleum,Morpeth NE65+2 locations, 1 day ago
22,Radiology Assistant,https://uk.indeed.com/viewjob?jk=142d2a4e153536b8&fccid=7691ebb71b24124c&vjs=3,Northumbria Healthcare - NHCT Northumbria...,Cramlington NE23,Today
23,Healthcare Screener - Trainee Retinal Screener,https://uk.indeed.com/company/InHealth/jobs/Screener-478c8f0fc10101dd?fccid=2819935c06b87565&vjs=3,InHealth,Morpeth, 1 day ago
24,Adolescent Support Worker,https://uk.indeed.com/viewjob?jk=75d8400398a74188&fccid=1295ddb948145c64&vjs=3,Northumberland County Council,Cramlington NE23, 1 day ago
