,job_title,job_link,company,location,date_posted
10,Entry Level Client Rep,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CNCS2ROTpNOp1z30-h8zq3I6osTR1SzDoc6hSIjnFjEoPAau8dQKYsvAnDmVbJnla3bDJjsrxGPUBl445lnQ9ig2aflANA8QwU2TPNDdslDPQdRN0wYSsaYb3ji-m9ymrUxJrzmnML4EjeJahn260SDUJsONVCA8BCSClS4Dl1FcsALgBOKsYgwYFa7zQtA2m1EK6yXEdkZZRngH_xpURT13LbUORsucP3lpOiuPuPsOvBhG8rnRwdjNHuZkmMTIwEfD0MPEeXI4UJouP36IYLxy4j74U-I8OHMdw802sukvUF4aVWfhA11_P71ozFVVzR0YT0RgZ66CIQCYelfIpRLEEdymkMec5RELy7-S1AahgKTK0CPTun_vv5QBYKGx-bYpBhbcr7gGy_VUxhm17-i3NxNq-2C-p_daJ-gs9Rm8tNhXsDX7VLTdx9RZYI3aXXmcq0pXUACDm-57eTwgVeHaa0wvvT_bVT2hBqux-73GbdHEzdTMbiXh576e9mrzBKlFoOo59bGiD2bCF8CroR&xkcb=SoCz-_M3MPePCJxuXp0BbzkdCdPP&p=10&fvj=1&vjs=3,Top Talent Group LLC,Edinburgh,Just posted
11,Administration Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0D-fzZtR9d8UOcpQ-wfLov-bA-Vd-c-zP035XGCNYTgqtYF_QzxjJ809Ls2UP2mevRk6o96L7H71dJXfNnxEU9aeF-O0cEviYPAo8-pRk_Y18IJUKlgvD-yTvrVG8NmSEWH9QbiAHo1pWtsgaJLizL4aJkH6BMK7i4hHKJc2aStPMwQ96jjDcJuU9QPuhl3vIyw24Wbcm3twO577pXvAYK-DrrPohloZSl2RsljcvM0iq28fFe-exfqMHgD6W9MmWg0aKZJYBEIp9QvlBnYsQvtEDdY-zIEmQX4dQj6tJbEgXVj5ABkc3EXwZOe6Bckp3uxfSzSDmaxrXrgHryp9Zy0I7JKYTwVh7C2oTH2jnr4gXE6Rs2VPDkmBeuRjlCAIgzL88YtDq-ZlyKJuA4ZRs0I3fGPCdfkW9vvBX3a8U3xPBHKSfOkpVHQpC5TAAODzMumfiiwubzEIq4hqOItof4I4DOZGB0hlETeROlXGNovpzvX5R9QwM8rL39ifsXj0hyjQwPOAmRlqw==&xkcb=SoAH-_M3MPePCJxuXp0AbzkdCdPP&p=11&fvj=1&vjs=3,TC Young,Edinburgh EH2,Today
12,HR Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0D-VdR2vJY0TURbdEg3iYySTgbqTR_gQPHf0hYuwvaPuPhmYM0CNylOUqzR-IqONbwtT0XbKPQCn-h0b9SdhuKocMPpt-cn0lj1oaxBMGVHBFbEGLpZTErOtV6Cv6D8VNJOa3DKHBACE-vfxgrVARyNdsXbs6RmJdHzJ6HbazaqpzyOp5-5OTYsnaf-HZrG4N8oMfuWuEDRUmd-26IJhJnnj_H0yH4HvA6kvUftZ9WI7TQBxHDSMUP0QZIwdE2GUvazXHK1_ojHvuC8Gm681SS-Xj0p8isWX6YIJ0TyfgI-XoeTHJWx2C1oLC1svymc9CIQGmxpQN1fhBFdA5InnKspQS3VEnP9tVbVJPciYuqFfTsOPqoFRKYHSmRl0mrzsd_UwhRL4jAEojUxCThUZc3KSwNUf0ihlJ3JdjsC5G-iEwHIl6c26qpF4PITShRehWcBi362oc3f_uEM3iuMQ7gCAsKtvHOK_OjRFLvsEk2Vj3XU-Mqwi_jstjI0QsNe_LMhi9z9PutYIQSUe1iKspPxEfGLvQ4dyP3DqFfNlpfFHg==&xkcb=SoCJ-_M3MPePCJxuXp0HbzkdCdPP&p=12&fvj=1&vjs=3,Clece Care Services Ltd,Edinburgh, 1 day ago
13,158101 Accounts Receivable Assistant (KK),https://uk.indeed.com/viewjob?jk=8e123b66efa78e67&fccid=d6099d4ad5d0cfc3&vjs=3,NHS Scotland,Edinburgh EH1, 1 day ago
14,Team Member,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DPe1kAVx0Y_Grr59X2fyIAhLfvf8HJhG_vEEUAL40oUSPk8PYgx5Qh-xPaDFIXznytlyOWSmYJaW83lg2w-FFOnJH9pNU8OwfMa6Opd-QP-TOnrvoUktRLznSznNoH3HLVyHI4ieQiIsCMO4_FoUHDCS5XSkI7lD9a54HNB_C5ajoO8WhcGEVWZWOu7ddreAa8PrmE1lzAQeBB0TUj6xRU6k4BZyzYz3YmoBAQ2f8voIwwRmgDxownkBMX-BKA0DAor-kPvGvG-zNS5e52JJyyOvndqjA3ckryMAcKZX5B1CxYNaetTJ6O-Nvt2mOtqt08Csxk2TLzs3tbcEipCibYqe31aSo67X_mhzyiD3CC7fiqiCdSrZJXKWkp2ivN6zVM4jsvlT9hg4p5C8n-BKeOE7PzPpGvntzasIu42MOR5VNtUkcUfkczQK8z5hmO49xPiSrTaYrpZ0cSVwdUgvhhSUgWvuT7O8eFhFGhHjZxDE7WFQZ2u_Je&xkcb=SoCg-_M3MPePCJxuXp0FbzkdCdPP&p=14&fvj=1&vjs=3,CHIX,Edinburgh EH1,Today
15,Sales Consultant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CHpSnjIPxMtekS58WZl5Olhjo2iWL5RjE_Boe0ccr3FjuSN5HuK1xreernPXLqz5Z1ltTm8kpoY2ilmRyA5zT0tpPnJBoQM5ByU0AJKz39jdnRjhHp2ojMTivVIvB477Zr0_aGtPGhqV4WE3XdCOfipsZj9JwmOIjcDgcb1pqsyJnxY-qqnUR40XFUvj3JUc1qHxo7GK00PFvyWf2N_OoPgVFW-Rjh5T4Bh82CbC6ueTn_0MB47s7thmJUEcH6CCZILCTE9LmGHiS7on8fvWuqV1jqBJAiFQUogzDcfycReAaT7887QNUYwbb3oT4u35_re9lqnCxGJdH65QBhnId6wlHKmNOUNMBH-wf72MtKjMt1AkyfRS-MjlzS5zlsS9gglSAVu0mZiRP1YA39ekXvzBXCJm2VOXn5IrA7qVopjMgUdrF6qq-gKlz0NwsGsWXdmE7ds7MAadRmVdM7i_KdUs4BhuwZ0NNdsENcoB90uSwoKVanT_uj_K1l6QcqpTq6WFXzPECQeg==&xkcb=SoBA-_M3MPeO4qR_hR0LbzkdCdPP&p=0&fvj=1&vjs=3,Goodwins Jewellery,Edinburgh EH2,Today
16,General Labourer,https://uk.indeed.com/company/ELDER-HOMES-LTD/jobs/Laborer-f19630bb32e5b83c?fccid=878dcf376bd368eb&vjs=3,Elder Homes Ltd,Edinburgh, 1 day ago
17,HR Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0D-VdR2vJY0TURbdEg3iYySTgbqTR_gQPHf0hYuwvaPuPhmYM0CNylOUqzR-IqONbwtT0XbKPQCn-h0b9SdhuKocMPpt-cn0lj1oaxBMGVHBFbEGLpZTErOtV6Cv6D8VNJOa3DKHBACE-vfxgrVARyNdsXbs6RmJdHzJ6HbazaqpzyOp5-5OTYstkbSRFo-btD1Ti-0YewstSXvEaSmhxGmRrysJzZl7S6ID5K6Q7MK_of_lAlwxu85gpeTZkSP9ipAYuPr9Utfg0jPhjXr6F8XeeEV0YNWbbNPBYcN6VlGEh_jarr5KAEjEIR15Fkk9NuliA5t1TxqbvblPhXXBs7MuFJXF7z3jAVf6_4yqjP7YA7ZRuNngyQNB6A0CYzj0dpdgs2M-IlVIuVJXQ_aercJBSfyPpFfLN2hqb8OGaxBdzqAm1vYTegqG1osEfKz_pOU0rGd90pWc5CJW3Vv8OCvR0c6tGoInJzdjSlmhTayh6XzfD-Hh2tBxqrmng2amaua5ymufzBfXtqO3bC8a-0AgQ3xNFo4Mf-FtDhGJeUkWQ==&xkcb=SoBp-_M3MPeO4qR_hR0JbzkdCdPP&p=2&fvj=1&vjs=3,Clece Care Services Ltd,Edinburgh, 1 day ago
18,Visitor Experience Assistant,https://uk.indeed.com/viewjob?jk=c61bfd3f260c80c4&fccid=eecf5b7a0cf3463b&vjs=3,National Museum Of Scotland,Edinburgh EH1,Today
19,Client Care Advisor,https://uk.indeed.com/viewjob?jk=261868c4448842d3&fccid=a5d669a6fffd5d16&vjs=3,Vets4Pets,Edinburgh EH12,Today
