,job_title,job_link,company,location,date_posted
138,Kitchen Porter (Live Out),https://uk.indeed.com/viewjob?jk=d951dbb526111527&fccid=8612fc665d98b1a3&vjs=3,HF Holidays,Sedbergh LA10,Today
139,CAM/PV General Practice Assistant,https://uk.indeed.com/viewjob?jk=50d8c5323e12830b&fccid=4622a50e82e9f350&vjs=3,Morecambe Bay Primary Care Collaborative,Milnthorpe LA7, 1 day ago
140,Tools Fitter,https://uk.indeed.com/viewjob?jk=478ac39bd6527aba&fccid=b1ed6eeadd828642&vjs=3,Sunbelt Rentals Careers,Carlisle CA2, 1 day ago
141,Food Hall Assistant Houghton Hall Garden Centre,https://uk.indeed.com/viewjob?jk=cd4f90e3befb5179&fccid=7c0cac602b039170&vjs=3,The Klondyke Group,Carlisle CA6,Just posted
142,Waiting Staff,https://uk.indeed.com/company/Tognarelli-Limited/jobs/Server-bb8536a57269c58b?fccid=2712f5699a727b4b&vjs=3,Tognarelli Limited,Workington, 1 day ago
143,Waiter/ess,https://uk.indeed.com/company/Fig-Tree(Barrow)Ltd/jobs/Server-18006b678ce4dbcd?fccid=0cbadf85e1056e45&vjs=3,Fig Tree(Barrow)Ltd,Barrow-In-Furness LA14, 1 day ago
144,Cleaning Operative,https://uk.indeed.com/company/Assured-Cleaning-Services/jobs/Cleaner-46bcf0526cacf122?fccid=29fe64c8930950b4&vjs=3,Assured Cleaning Services,Kendal, 1 day ago
145,"HGV Class 1 Tramper £15ph Driven Hrs, £12 Basic",https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0B3MhfTd2XcFr50r_f-uln_sDmd0uGR4NILIGKgc1JGGP5OkJ9XalTnemnDZYSxIWm-H-sLs5autQeWvqJSOT_DsoflFFSaVvBxU5lYy2K5vOGzW52tqfMvr6i7SPAMKiOs8ZSDxLU9uHz286eW2gk9f7gpRQ9dtrciknbjmAmLjPmsHS9PYTEZ8VaJb85AItGvExcsvnfhpqYiPFY8i4imroxZUfJoveedVtT7Sxc4s-FuEl815eqcCUNAY-QTJzZDXaeRms1OmxVBruzsEXu1NoNhfr5WnnqBaZ77MFwDUL6pYbmRNrwLWsF_MqpVrvuCZa7zaz6e73_ih7sTXXLNnH09W78QFu81FuU-O4pMqjDv1I_5HTAaW8yoRDy4y0Iuj2EIncH1hOXPznrHEUTE5-NDTB_1L851klL3xc5daEXt2gzeZRV5vfyApSbxa6b7UotwQunnAmymh01X9iQARbeO9_9OHIDorqTqso9hLWWH2D7rcI9meW4wNvEYZLaFhXoc99MBmMJ0ttNBzus-87PCkeWwD_yR5PKJ8T9ziA==&xkcb=SoAK-_M3MPQXJV2zIB0BbzkdCdPP&p=10&fvj=1&vjs=3,R T Keedwell Ltd,Carlisle,Today
146,Van delivery driver - owner drivers wanted,https://uk.indeed.com/viewjob?jk=bc9ad2ebe0acc27e&fccid=56556bebac48f0e2&vjs=3,Avail,Carlisle,Just posted
147,"Environmental, Sustainability and Governance Officer",https://uk.indeed.com/company/Viberoptix/jobs/Environmental-Manager-59629d4437cef41d?fccid=c6dc00562a25eab4&vjs=3,Viberoptix,Penrith, 1 day ago
148,Health Care Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BtpwQIRLc3kdy7DkWQcUbqz2H4FLhIHorT924a8m80KlNvMGiUrVEzvvA8sXUiABDUKjXI_f_1UluFK6MaVX3CCKItXoq8TsibWmjA4gYHda_H6qWjsuDM7Sjs59frjcx7yD2RhBq-LVSJCTJ7rkuZGza6ELgZ5HoHQ_Ocs0xsVN0ea_jgmOfZBty3vsn-veDMZ9FDB-W7GW5KXoQxzQ1uLe6iz55coZMU_BJprVrh_vivPtiu1s72eAe1AMPufhPMnfyIcuf1EnzWE4V1SPvlBrPiBZ3lpmXvF90fqvtijY9DJ6whA5ssDwTh38ijez8thn_DhYtLETJCpTZlmdX-zF1zuvY96dpXhJcZgGroXIvndswFeWa_plZCF_E2P_uQl-lc6jBKiI5vD1IJh-z1TxMzfYTAlLDMdvp6CGdtyhs6YRgSk7C8lVJwiUVooo6FQzOAoNIkwcOvWSn_7xM1pa-Rk2XiyykxbdXGofNqtJV8SYhDQ4UDbXwoYOWTxUM=&xkcb=SoCE-_M3MPQXJV2zIB0GbzkdCdPP&p=13&fvj=1&vjs=3,Swift Healthcare Staffing Solutions,Carlisle,Today
149,Telehandler Driver,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BvCQA5xf8TL4LglgiOlynR6JjjT93o3KtPdx5GCojrbi_jxPTmCUJqgjMigoBcm3oy2OlRk0PbaI_Ijig4y4Ha5bSoJwZWjMmerkaLAG_ALtelvfGCR1rEQAt_vP5nKGxTZR2YdoQVIDwbay32Aaebr-R3WPWrybjADLGGsIZdyiYZRBClKWUtVkrqbcWiAW0A9rNB_w2fb823I4LG5ILZqv_YlR5qQu2qlyzvH1aSYwtJvFzSmC3jSp5mSoTKDtbQmO6EkpupyWFL2eDKSaiPY3IQrVBBjNoyE_ivk_xk5svN2Egc1NLz62EXqQ5HLiEYbsRaM_mlixyhKAGEWEA93wtdwb_jOhUC1gVRryYdoWckhebjS3Dme4-5mbqyeFPGX69wTp90AJfVUe3IUFFOhEdaePo7ifh9XCII477bYbOcNQJpS6gRW8i65D1iwYSbH0RefIvwqzvPSD_gzFGl8SKWRDdjqY-KokzHGEOJB2Io7r5C1_te2W3yqLrDJfo=&xkcb=SoAZ-_M3MPQXJV2zIB0FbzkdCdPP&p=14&fvj=1&vjs=3,Careermakers,Kendal LA9, 1 day ago
150,Transport Administrator,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CyP5DvHqbpkszwEkvzehApDcHNrXTYACEK2j5R8V2AhMF_vz6aeYcvtPW5HPUCjMtse8w4x4rUMg2HM4Uxmip2__SOiCGP2VZYsUm1Fs-rNKDMP5m_9SiPpyvBOTtHn6rNdA4R99ZwhAinmqRPhf29G0eQgWQWPutJRZg4XBOhy4Gq88t_ghzKe_-bgv2MK8T7cA2hqM3bmTs056hyIzw7hzMxAK6ShPOyKDV0opXRf_9QaByjqx6zyOXMnNdnoZ0dz0TKWWPBGYxL9eI0e-tMnXwW4AV8IOekesHLAuQnNUxdDxcFSZIsJ4Fm1L2IffaJumddNpBcgEPq56mYeRaZGa-vcuqvcU-B_uKfAp_UNt_o_Lc4_DitEC3_N_txD9_SEffzgGsrp4pXz1dBLt9cYrvPJp2dlWgmUI5-PNZRENdl_ZbNWVcWGqGZVarXBfZTVWh3u9EsfLrKkWobQtk21PUyZiPZcN7p0RPG968u3-wtCDiZ6XarfoeTCW6KeX2MVAb3AthRLA==&xkcb=SoAU-_M3MPQWlTR_hR0LbzkdCdPP&p=0&fvj=1&vjs=3,Intelligent Temporary Solutions,Carlisle, 1 day ago
151,Kitchen Porter (Live Out),https://uk.indeed.com/viewjob?jk=d951dbb526111527&fccid=8612fc665d98b1a3&vjs=3,HF Holidays,Sedbergh LA10,Today
152,Café Assistant,https://uk.indeed.com/company/Hayes-Garden-World/jobs/Cafe-Assistant-1e2d4e5b0df199f0?fccid=fbcffc879bdd6b29&vjs=3,Hayes Garden World,Ambleside LA22,Today
153,Refuse Loader,https://uk.indeed.com/viewjob?jk=27d5836d63e3d095&fccid=52eea3a65ee31030&vjs=3,The Best Connection Employment Group,Carlisle CA2, 1 day ago
154,Housekeeper,https://uk.indeed.com/viewjob?jk=a17bda086acb6739&fccid=c0d1bfdf3ca29b0f&vjs=3,Premier Inn,Kendal LA9, 1 day ago
155,Kitchen Porter,https://uk.indeed.com/company/The-Albert/jobs/Kitchen-Porter-4b96070e05a05ba5?fccid=ec3d7ce4770295ae&vjs=3,The Albert,Windermere, 1 day ago
156,Office Cleaner (part-time),https://uk.indeed.com/company/DSD-Construction-Ltd/jobs/Office-Cleaner-46b1a2a985731c7f?fccid=39080750d94cb176&vjs=3,DSD Construction Ltd,Carlisle, 1 day ago
157,Bar Staff,https://uk.indeed.com/company/Verve-People/jobs/Bar-Staff-160067244e5a7880?fccid=9fb8c16835af1666&vjs=3,Verve People,Wigton, 1 day ago
158,CSCS Labourer,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BvCQA5xf8TL4LglgiOlynR6JjjT93o3KtPdx5GCojrbi_jxPTmCUJqeMB4VyA_cl8kUKQ4X0PRBkpMiudifwxv_4ckVO7x0_Gclue9Cu1uNP7x_Wr3hV5USkQO1c5c0zr6Y_EJnICdtVONbdW5hEn8lZwzygSsHsRNfabf0Jlxilo348AIl2-Mebukxrehv7l4XVv_Pk5wb54hmZEiUqoFhC-yqfH6H0HMdDjDV60jc0GSIjLi6pX0mkNvGtP3FoEEyGnENZu9yJpCb86lzP-fuSXV_V4gUa1rWcbKVCuTQQx3SGChORgx0jyzdPIcQwXOXm1a96bglDMGJeO6XpWK0UbP5aWzVM3eJ0gh-s2HJm1ldCMTk-p_2ywAF9tmbTjM_25_2x7XxaTx5Zpk8UwOAy2wV8BXvSg6xYXj_rr_l474Tx8u8ryaRJSBdpiPsApjYvtp4m9SPmMezqiXwapWBaBuNZxC6jmc7_M_sBz1Ls248YQLiEiE&xkcb=SoBz-_M3MPQWlTR_hR0DbzkdCdPP&p=8&fvj=1&vjs=3,Careermakers,Kendal LA9, 1 day ago
159,Hotel Housekeeper,https://uk.indeed.com/company/Melbreak-Enterprises/jobs/Hotel-Housekeeper-945cb3b0440abcef?fccid=10b2101ed1265123&vjs=3,The Melbreak Hotel,Workington CA14,Today
160,HGV Driver,https://uk.indeed.com/viewjob?jk=75f83e913348922c&fccid=52eea3a65ee31030&vjs=3,The Best Connection Employment Group,Carlisle CA6+1 location,Today
161,Barista - 15 hour contract,https://uk.indeed.com/viewjob?jk=3fd8b91fa6403705&fccid=56cdda650c544fc3&vjs=3,Costa Limited,Carlisle CA1, 1 day ago
162,Cleaner,https://uk.indeed.com/viewjob?jk=cc57f8102ea39c48&fccid=c3ce5ffdf81876b2&vjs=3,Atalian Servest,Workington CA14+2 locations,Today
163,Fire Safety Advisor,https://uk.indeed.com/viewjob?jk=a36f19f090347b6b&fccid=f779ef5240d75cce&vjs=3,Morgan Sindall Plc,Cumbria,Just posted
