posted,job title,company working,location working,link
2023-12-12T17:29:18.663Z,Advanced Practitioner - Contextual Safeguarding,London Borough of Hillingdon,"London,London",https://www.monster.co.uk/job-openings/advanced-practitioner-contextual-safeguarding-london-eng--5781b7e4-2fb1-47d9-93f5-938cfa255812
2023-12-12T06:02:58.717Z,Domestic Abuse Practitioner,Black Country Womens Aid,"Walsall,MID",https://www.monster.co.uk/job-openings/domestic-abuse-practitioner-walsall-eng--53010a68-0333-43ae-9f2e-9953727d5cdf
2023-12-12T11:54:11.260Z,Practitioner,Nottinghamshire County Council,"Nottingham,MID",https://www.monster.co.uk/job-openings/practitioner-nottingham-eng--947b6dff-b6f0-43f9-9c50-64384dd720b7
2023-12-12T09:15:06.607Z,Early Years Practitioner,Mapperley Day Nursery,"Nottingham,MID",https://www.monster.co.uk/job-openings/early-years-practitioner-nottingham-eng--a40cac39-940f-49b2-906a-ee913485ce1f
2023-12-12T11:13:22.977Z,Early Years Practitioner,Randstad Education,"Luton,HC",https://www.monster.co.uk/job-openings/early-years-practitioner-luton-eng--f953c115-08ef-405b-8355-0fe1d0bc8c42
2023-12-12T11:54:06.523Z,Advanced Social Work Practitioner,Nottinghamshire County Council,"Nottingham,MID",https://www.monster.co.uk/job-openings/advanced-social-work-practitioner-nottingham-eng--a00055ee-fccb-4a54-b386-3d1a5e149355
