date,job title,company working,location working,link
2023-09-07T06:10:55.060Z,Contact Centre Team Leader,Fresh Direct,"Bicester,HC",https://www.monster.co.uk/job-openings/contact-centre-team-leader-bicester-eng--74e1f92f-8f5c-423f-987c-a136e570494f
2023-09-07T06:10:53.857Z,Customer Service Advisor,Fresh Direct,"Bicester,HC",https://www.monster.co.uk/job-openings/customer-service-advisor-bicester-eng--eb7e315a-b318-4d55-9f14-d1f8ddacadaf
2023-09-07T06:10:51.057Z,HGV Class 2 Driver - Day Shift,Fresh Direct,"Bicester,HC",https://www.monster.co.uk/job-openings/hgv-class-2-driver-day-shift-bicester-eng--1ebdfbfc-87dc-4ecd-8c9a-b73e9b69ccc7
2023-09-07T06:09:13.367Z,Warehouse Operative - Day Shift,Fresh Direct,"Bicester,HC",https://www.monster.co.uk/job-openings/warehouse-operative-day-shift-bicester-eng--35a456d7-4df7-4064-96d9-9f3659f58989
2023-09-07T06:10:53.103Z,Bid Administrator,Fresh Direct,"Bicester,HC",https://www.monster.co.uk/job-openings/bid-administrator-bicester-eng--af81edef-d210-417b-b14b-258c4804afc8
2023-09-07T06:25:49.527Z,Nursery Assistant,Randstad Education,"Dunstable,HC",https://www.monster.co.uk/job-openings/nursery-assistant-dunstable-eng--44bfab8e-28f3-4ac9-b879-a540004d940d
2023-09-07T05:18:09.783Z,Primary School Teaching Assistant,Randstad Education,"Dunstable,HC",https://www.monster.co.uk/job-openings/primary-school-teaching-assistant-dunstable-eng--b1aaece2-a811-44dd-ad07-92ff5e86507f
2023-09-07T05:28:05.103Z,Reablement Support Worker - Drivers Only,All Care (GB) Ltd,"Thame,HC",https://www.monster.co.uk/job-openings/reablement-support-worker-drivers-only-thame-eng--23923cdc-85c1-4a67-8c7c-af25ec3a9789
2023-09-07T05:13:07.227Z,Viewings Administrator,Chelton Brown,"Northampton,MID",https://www.monster.co.uk/job-openings/viewings-administrator-northampton-eng--9d48d1d0-cdb7-4b42-a8fb-c6ab52edbd59
2023-09-07T06:21:52.863Z,Conveyancing Support Assistant,Brevis,"Stevenage,HC",https://www.monster.co.uk/job-openings/conveyancing-support-assistant-stevenage-eng--ad45a72c-e89c-4cae-90ab-b63a18497403
2023-09-07T05:14:13.693Z,Cleaner,MINSTER CLEANING,"Luton,HC",https://www.monster.co.uk/job-openings/cleaner-luton-eng--ec40af28-947c-4014-926f-75c0b4b00c40
2023-09-07T10:42:47.610Z,Principal Software Engineer/Architect: AWS / Azure / DevOps - N Bucks,Blue Marble Recruitment Limited,"Milton Keynes,HC",https://www.monster.co.uk/job-openings/principal-software-engineer-architect-aws-azure-devops-n-bucks-milton-keynes-eng--5a87003c-9b24-4eb3-b29f-0f2750f328a7
2023-09-07T06:23:17.910Z,Management Accountant,MyDEK,"Milton Keynes,HC",https://www.monster.co.uk/job-openings/management-accountant-milton-keynes-eng--9f4e37f4-c0fb-48c4-88ee-c2dcd3f95170
2023-09-07T05:18:10.953Z,GCSE Maths Teacher,Randstad Education,"Letchworth Garden City,HC",https://www.monster.co.uk/job-openings/gcse-maths-teacher-letchworth-garden-city-eng--1fe080e7-b7a6-4978-8f3c-9d83b5f80d16
2023-09-07T05:32:01.100Z,Stores / Buyer's Assistant,Acapella Recruitment,"Irthlingborough,MID",https://www.monster.co.uk/job-openings/stores-buyer-s-assistant-irthlingborough-eng--6b6ec52b-ced2-4533-91f9-a721c1372dd8
