date,job title,company working,location working,link
10 hrs ago,Stock Assistant,Aldi,Sheerness,https://www.reed.co.uk/jobs/stock-assistant/51773349?source=searchResults&filter=%2Fjobs%2Fassistant-team-manager-jobs%3Fdirect%3Dtrue%26dateCreatedOffSet%3Dtoday
10 hrs ago,Store Assistant,Aldi,Sheerness,https://www.reed.co.uk/jobs/store-assistant/51773348?source=searchResults&filter=%2Fjobs%2Fassistant-team-manager-jobs%3Fdirect%3Dtrue%26dateCreatedOffSet%3Dtoday
10 hrs ago,Stock Assistant,Aldi,Sheerness,https://www.reed.co.uk/jobs/stock-assistant/51773349?source=searchResults&filter=%2Fjobs%2Fassistant-team-manager-jobs%3Fdirect%3Dtrue%26dateCreatedOffSet%3Dtoday
10 hrs ago,Store Assistant,Aldi,Sheerness,https://www.reed.co.uk/jobs/store-assistant/51773348?source=searchResults&filter=%2Fjobs%2Fassistant-team-manager-jobs%3Fdirect%3Dtrue%26dateCreatedOffSet%3Dtoday
6 hrs ago,Retail Team Leader,The Works Stores PLC,Blackburn,https://www.reed.co.uk/jobs/retail-team-leader/51773646?source=searchResults&filter=%2Fjobs%2Fassistant-team-manager-jobs%3Fdirect%3Dtrue%26dateCreatedOffSet%3Dtoday
7 hrs ago,Sales Assistant Clothing,Poundland,Ashbourne,https://www.reed.co.uk/jobs/sales-assistant-clothing/51773566?source=searchResults&filter=%2Fjobs%2Fassistant-team-manager-jobs%3Fdirect%3Dtrue%26dateCreatedOffSet%3Dtoday
