posted,job title,company working,location working,salary,link
24h,Bodyshop Administrator,Archbold Accident repair centre,"Leeds, England",£10.50 - £13.00,"https://www.glassdoor.co.uk/job-listing/bodyshop-administrator-archbold-accident-repair-centre-JV_IC3414359_KO0,22_KE23,54.htm?jl=1009026141359"
24h,Workshop Tutor,On Track Education4.1,"Westbury, South East England, England",£23K - £34K,"https://www.glassdoor.co.uk/job-listing/workshop-tutor-on-track-education-JV_IC2681168_KO0,14_KE15,33.htm?jl=1009025599640"
24h,Assistant Company Secretary,Johnson Matthey3.6,"London, England",£38K - £60K,"https://www.glassdoor.co.uk/job-listing/assistant-company-secretary-johnson-matthey-JV_IC2671300_KO0,27_KE28,43.htm?jl=1009026457908"
24h,Central London - ECC Veterinary Surgeon,Dynamic Recruits5.0,"London, England",£93K,"https://www.glassdoor.co.uk/job-listing/central-london-ecc-veterinary-surgeon-dynamic-recruits-JV_IC2671300_KO0,37_KE38,54.htm?jl=1009026147284"
24h,ECC Veterinary Surgeon - Independent - 24 hour hospital - Central London,Confidential5.0,"London, England",£88K,"https://www.glassdoor.co.uk/job-listing/ecc-veterinary-surgeon-independent-24-hour-hospital-central-london-confidential-JV_IC2671300_KO0,66_KE67,79.htm?jl=1009026135256"
24h,Associate Dentist,Stratford House Dental Practice and Neath Hill Dental Practice,"Milton Keynes, England",£85K - £100K,"https://www.glassdoor.co.uk/job-listing/associate-dentist-stratford-house-dental-practice-and-neath-hill-dental-practice-JV_IC3253143_KO0,17_KE18,80.htm?jl=1009025780736"
24h,Operations Team Lead,Market Makers AI Limited,"London, England",£70K,"https://www.glassdoor.co.uk/job-listing/operations-team-lead-market-makers-ai-limited-JV_IC2671300_KO0,20_KE21,45.htm?jl=1009026080277"
24h,"Repairs Coordinator, Jubilee House",The Church of England3.9,"Southwell, South West England, England",£26K - £28K,"https://www.glassdoor.co.uk/job-listing/repairs-coordinator-jubilee-house-the-church-of-england-JV_IC2684780_KO0,33_KE34,55.htm?jl=1009026150278"
24h,Registered Nurse Days/Nights,Cathena Healthcare Ltd1.0,"Saxmundham, England",£18.50 - £19.00,"https://www.glassdoor.co.uk/job-listing/registered-nurse-days-nights-cathena-healthcare-ltd-JV_IC3318931_KO0,28_KE29,51.htm?jl=1009025617878"
24h,Chef Manager,Four Seasons Health Care4.0,"Mansfield, England",£14.50,"https://www.glassdoor.co.uk/job-listing/chef-manager-four-seasons-health-care-JV_IC3528004_KO0,12_KE13,37.htm?jl=1009025618863"
