date,job title,company working,location working,link
2023-09-07T00:37:06Z,Customer Services Receptionist,Bracknell Forest Council , Bracknell ,https://www.simplyhired.co.uk/job/MlE1RJXW2mwjQ3xjeTbtzjoOvKiC3nw56MLd4y50KS_kag6w9Lpzig?q=
2023-09-06T15:23:37Z,Warehouse Operative,GXO Logistics , Reading ,https://www.simplyhired.co.uk/job/BY_bbl9VKrSpJ40GSE87KEx5X98jwYE4raWWDWCW_3cjC-4bZqLgpQ?q=
2023-09-06T10:22:33Z,Retail Assistant – Christmas,John Lewis , Reading ,https://www.simplyhired.co.uk/job/2IShBzJWcQ_lK7Z5nwS9aa8rHqe_Bt5kyG3fjxph-7MqsLCeH1JjDg?q=
2023-09-06T09:29:06Z,Full Time Slitting Production,Tickitape , Newbury ,https://www.simplyhired.co.uk/job/stcmRx2E_5ojuuKlGO6aBPELcJzM_1RTxfenRcavULMqG5jlJG44zA?q=
2023-09-07T08:30:55Z,Merchandiser,REL Field Marketing , Newbury ,https://www.simplyhired.co.uk/job/J3slkLKdi6husf2BEaOmUlJZkU7XstWugdYzVE8b9c2EDfCwa17L2A?q=
2023-09-07T12:00:33Z,SENCO,Calcot Services for Children , Reading ,https://www.simplyhired.co.uk/job/tl4LKuph1-gRLhWwyWDVKIwr8pjGe3AYXcSg9DH_qqJ7dT0F7LhjtA?q=
2023-09-07T11:54:33Z,Surveillance Operative,Allied Universal Compliance and Investigations , Reading ,https://www.simplyhired.co.uk/job/zmAJN0DzM6rJfRDGf53Bj-sr8ta_C_LNtzr_c6uCj8vv6l_NQPJL3Q?q=
2023-09-06T16:22:33Z,Supermarket Assistant,Waitrose , Reading +1 location,https://www.simplyhired.co.uk/job/kI150lV0AKvYflFBy58iRtiw5rhbDVDo3TOCSNUjrcZg2LUGqJdmeQ?q=
2023-09-07T10:51:05Z,Stakeholder Analysis Assistant,Westminster Forum Projects , Bracknell ,https://www.simplyhired.co.uk/job/GGFG7gmBDvzc6ZN64TCVPsk-Z8HwgSoxE5RmLRrPj5kGXgRNYPdtgA?q=
2023-09-07T12:12:02Z,Stores Operative,Surecam (Europe) Limited , Reading ,https://www.simplyhired.co.uk/job/cuUA7Io_PgqjSbImTaSZtYZCR3NJ-3CE8ppUPIMsQ8rFT87mOT7ESg?q=
2023-09-07T08:30:55Z,Merchandiser,REL Field Marketing , Newbury ,https://www.simplyhired.co.uk/job/J3slkLKdi6husf2BEaOmUlJZkU7XstWugdYzVE8b9c2EDfCwa17L2A?q=
2023-09-06T19:38:49Z,Receptionist Administrator,Inspired , Berkshire ,https://www.simplyhired.co.uk/job/j8UI05oftTlNTyUhGeafKYgLcI3dyZLweQQfy1hP0qVpfeiQblX9nA?q=
2023-09-06T17:00:11Z,Tesco Colleague - Newbury Superstore,Tesco , Newbury ,https://www.simplyhired.co.uk/job/XEXO05Pgr9HWU01NnGixh0DST2JcMYJjMgmimqF2NnL-Xh2V7qiOJA?q=
2023-09-06T22:30:41Z,Retail Assistant,Iceland , Reading ,https://www.simplyhired.co.uk/job/UGxcfbnRq9F9DGNRPqykaIVZ9kB7SsQA2rHIq9taA00bHWSmqU9buA?q=
2023-09-07T12:20:07Z,Customer Advisor – Argos (in Sainsbury’s),Sainsburys , Maidenhead ,https://www.simplyhired.co.uk/job/wGEAnEUI9imkiROKKdkuj6JUAtZbGpJByzfvzyDS-IWQU7RaZOsjqQ?q=
