locations,links,details,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Aberdeenshire,https://www.reed.co.uk/jobs/jobs-in-Aberdeenshire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Highland,https://www.reed.co.uk/jobs/jobs-in-Highland?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
West Lothian,https://www.reed.co.uk/jobs/jobs-in-West-Lothian?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Renfrewshire,https://www.reed.co.uk/jobs/jobs-in-Renfrewshire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Falkirk,https://www.reed.co.uk/jobs/jobs-in-Falkirk?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Perth and Kinross,https://www.reed.co.uk/jobs/jobs-in-Perth-and-Kinross?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Dumfries and Galloway,https://www.reed.co.uk/jobs/jobs-in-Dumfries-and-Galloway?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
City of Dundee,https://www.reed.co.uk/jobs/jobs-in-City-of-Dundee?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
North Ayrshire,https://www.reed.co.uk/jobs/jobs-in-North-Ayrshire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
South Ayrshire,https://www.reed.co.uk/jobs/jobs-in-South-Ayrshire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
East Ayrshire,https://www.reed.co.uk/jobs/jobs-in-East-Ayrshire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Angus,https://www.reed.co.uk/jobs/jobs-in-Angus?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Scottish Borders,https://www.reed.co.uk/jobs/jobs-in-Scottish-Borders?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
East Dunbartonshire,https://www.reed.co.uk/jobs/jobs-in-East-Dunbartonshire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
East Lothian,https://www.reed.co.uk/jobs/jobs-in-East-Lothian?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Moray,https://www.reed.co.uk/jobs/jobs-in-Moray?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Stirling,https://www.reed.co.uk/jobs/jobs-in-Stirling?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Midlothian,https://www.reed.co.uk/jobs/jobs-in-Midlothian?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
West Dunbartonshire,https://www.reed.co.uk/jobs/jobs-in-West-Dunbartonshire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Argyll and Bute,https://www.reed.co.uk/jobs/jobs-in-Argyll-and-Bute?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Inverclyde,https://www.reed.co.uk/jobs/jobs-in-Inverclyde?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Clackmannanshire,https://www.reed.co.uk/jobs/jobs-in-Clackmannanshire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Western Isles,https://www.reed.co.uk/jobs/jobs-in-Western-Isles?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Shetland Islands,https://www.reed.co.uk/jobs/jobs-in-Shetland-Islands?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Orkney Islands,https://www.reed.co.uk/jobs/jobs-in-Orkney-Islands?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Blaenau Gwent,https://www.reed.co.uk/jobs/jobs-in-Blaenau-Gwent?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Bridgend,https://www.reed.co.uk/jobs/jobs-in-Bridgend?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Caerphilly,https://www.reed.co.uk/jobs/jobs-in-Caerphilly?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Cardiff,https://www.reed.co.uk/jobs/jobs-in-Cardiff?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Carmarthenshire,https://www.reed.co.uk/jobs/jobs-in-Carmarthenshire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Ceredigion,https://www.reed.co.uk/jobs/jobs-in-Ceredigion?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Conwy,https://www.reed.co.uk/jobs/jobs-in-Conwy?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Denbighshire,https://www.reed.co.uk/jobs/jobs-in-Denbighshire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Flintshire,https://www.reed.co.uk/jobs/jobs-in-Flintshire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Gwynedd,https://www.reed.co.uk/jobs/jobs-in-Gwynedd?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Isle of Anglesey,https://www.reed.co.uk/jobs/jobs-in-Isle-of-Anglesey?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Merthyr Tydfil,https://www.reed.co.uk/jobs/jobs-in-Merthyr-Tydfil?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Monmouthshire,https://www.reed.co.uk/jobs/jobs-in-Monmouthshire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Neath Port Talbot,https://www.reed.co.uk/jobs/jobs-in-Neath-Port-Talbot?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Newport,https://www.reed.co.uk/jobs/jobs-in-Newport?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Pembrokeshire,https://www.reed.co.uk/jobs/jobs-in-Pembrokeshire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Powys,https://www.reed.co.uk/jobs/jobs-in-Powys?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Rhondda Cynon Taf,https://www.reed.co.uk/jobs/jobs-in-Rhondda-Cynon-Taf?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Swansea,https://www.reed.co.uk/jobs/jobs-in-Swansea?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Torfaen,https://www.reed.co.uk/jobs/jobs-in-Torfaen?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Vale of Glamorgan,https://www.reed.co.uk/jobs/jobs-in-Vale-of-Glamorgan?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Wrexham,https://www.reed.co.uk/jobs/jobs-in-Wrexham?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Antrim,https://www.reed.co.uk/jobs/jobs-in-Antrim?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Armagh,https://www.reed.co.uk/jobs/jobs-in-Armagh?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Down,https://www.reed.co.uk/jobs/jobs-in-Down?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Fermanagh,https://www.reed.co.uk/jobs/jobs-in-Fermanagh?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Londonderry,https://www.reed.co.uk/jobs/jobs-in-Londonderry?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Tyrone,https://www.reed.co.uk/jobs/jobs-in-Tyrone?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Barnet,https://www.reed.co.uk/jobs/jobs-in-Barnet?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Bexley,https://www.reed.co.uk/jobs/jobs-in-Bexley?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
